probe_step,n_halted,n_active,n_expunged,loss,grad_norm_total,grad_norm_muon,grad_norm_adam,mean_age,std_age,min_age,max_age
213,135,176,0,0.722656,0.528751,0.468182,0.245730,0.40,1.33,0,12
214,116,176,0,0.722656,0.365050,0.328274,0.159680,0.53,1.46,0,13
215,132,176,0,0.722656,0.234243,0.212642,0.098250,0.46,1.58,0,14
216,113,176,0,0.722656,0.317843,0.286557,0.137512,0.60,1.71,0,15
217,132,176,0,0.722656,0.370421,0.322415,0.182374,0.42,1.41,0,13
218,110,176,0,0.722656,0.563806,0.495318,0.269327,0.58,1.54,0,14
219,122,176,0,0.722656,0.508219,0.462771,0.210070,0.53,1.65,0,15
220,124,176,0,0.722656,0.741962,0.693910,0.262674,0.47,1.33,0,15
221,130,176,0,0.722656,0.305648,0.275043,0.133312,0.34,0.76,0,7
222,118,176,0,0.722656,0.311599,0.286784,0.121855,0.42,0.87,0,8
223,119,176,0,0.722656,0.414682,0.373824,0.179490,0.49,1.05,0,9
224,116,176,0,0.722656,0.279817,0.244130,0.136743,0.51,1.13,0,10
225,119,176,0,0.722656,0.417949,0.373058,0.188440,0.50,1.22,0,11
226,134,176,0,0.718750,0.325006,0.288681,0.149306,0.41,1.32,0,12
227,126,176,0,0.722656,0.254317,0.227423,0.113824,0.47,1.43,0,13
228,125,176,0,0.722656,0.332113,0.298381,0.145836,0.51,1.57,0,14
229,122,176,0,0.722656,0.344175,0.306079,0.157391,0.56,1.71,0,15
230,123,176,0,0.722656,0.231936,0.207457,0.103711,0.48,1.43,0,13
231,120,176,0,0.722656,0.379910,0.332116,0.184473,0.52,1.53,0,14
232,128,176,0,0.722656,0.353013,0.322339,0.143931,0.49,1.66,0,15
233,118,176,0,0.722656,0.628288,0.545083,0.312458,0.49,1.34,0,14
234,125,176,0,0.722656,0.296420,0.259641,0.143008,0.48,1.46,0,15
235,119,176,0,0.722656,0.293416,0.251341,0.151395,0.45,1.06,0,11
236,124,176,0,0.722656,0.430408,0.381801,0.198694,0.45,1.16,0,12
237,125,176,0,0.722656,0.329974,0.292169,0.153363,0.47,1.27,0,13
238,116,176,0,0.722656,0.278553,0.248109,0.126624,0.53,1.38,0,14
