probe_step,n_halted,n_active,n_expunged,loss,grad_norm_total,grad_norm_muon,grad_norm_adam,mean_age,std_age,min_age,max_age
282,116,128,0,0.718750,0.104941,0.060425,0.085799,0.12,0.39,0,2
283,117,128,0,0.718750,0.123792,0.087867,0.087200,0.09,0.28,0,1
284,115,128,0,0.718750,0.272135,0.251133,0.104832,0.10,0.30,0,1
285,110,128,0,0.718750,0.622289,0.592913,0.188939,0.16,0.43,0,2
286,118,128,0,0.718750,0.095595,0.038539,0.087483,0.09,0.31,0,2
287,109,128,0,0.718750,0.197086,0.173692,0.093135,0.16,0.39,0,2
288,113,128,0,0.718750,0.157502,0.128226,0.091460,0.12,0.32,0,1
289,107,128,0,0.718750,0.107145,0.065078,0.085117,0.19,0.45,0,2
290,115,128,0,0.718750,0.180369,0.153593,0.094563,0.11,0.34,0,2
291,112,128,0,0.718750,0.093639,0.041887,0.083748,0.14,0.39,0,2
292,113,128,0,0.718750,0.244441,0.222022,0.102262,0.14,0.41,0,2
293,117,128,0,0.718750,0.209866,0.184964,0.099157,0.09,0.32,0,2
294,118,128,0,0.718750,0.623106,0.592650,0.192426,0.09,0.31,0,2
295,107,128,0,0.718750,0.122549,0.085436,0.087857,0.16,0.37,0,1
296,112,128,0,0.718750,0.197642,0.174733,0.092361,0.13,0.36,0,2
297,115,128,0,0.718750,0.192052,0.165691,0.097111,0.13,0.42,0,2
298,112,128,0,0.718750,0.098552,0.045922,0.087199,0.17,0.52,0,3
299,110,128,0,0.718750,0.174742,0.147828,0.093176,0.15,0.38,0,2
300,119,128,0,0.718750,0.091566,0.036491,0.083980,0.07,0.26,0,1
301,109,128,0,0.718750,0.159359,0.132341,0.088776,0.16,0.39,0,2
302,113,128,0,0.718750,0.655936,0.627270,0.191792,0.12,0.32,0,1
303,116,128,0,0.718750,0.092642,0.036189,0.085281,0.09,0.29,0,1
304,112,128,0,0.718750,0.111551,0.070463,0.086478,0.13,0.36,0,2
305,113,128,0,0.718750,0.142232,0.110176,0.089952,0.13,0.38,0,2
306,115,128,0,0.718750,0.144425,0.113418,0.089415,0.10,0.30,0,1
307,115,128,0,0.718750,0.160579,0.129511,0.094935,0.11,0.34,0,2
308,112,128,0,0.718750,0.156716,0.126343,0.092722,0.13,0.36,0,2
309,117,128,0,0.718750,0.317301,0.294770,0.117434,0.11,0.38,0,2
310,117,128,0,0.718750,0.658762,0.628180,0.198386,0.09,0.28,0,1
311,119,128,0,0.718750,0.168347,0.141523,0.091170,0.07,0.26,0,1
312,117,128,0,0.718750,0.189471,0.162270,0.097815,0.09,0.32,0,2
313,111,128,0,0.718750,0.129176,0.096284,0.086116,0.14,0.37,0,2
314,113,128,0,0.718750,0.173639,0.147245,0.092030,0.16,0.46,0,2
315,112,128,0,0.718750,0.180575,0.154125,0.094090,0.12,0.33,0,1
316,112,128,0,0.718750,0.122390,0.084810,0.088242,0.12,0.33,0,1
317,116,128,0,0.718750,0.637556,0.605748,0.198865,0.10,0.33,0,2
318,114,128,0,0.718750,0.196977,0.172736,0.094667,0.11,0.31,0,1
319,114,128,0,0.718750,0.177939,0.150615,0.094749,0.12,0.38,0,2
320,118,128,0,0.718750,0.114221,0.075536,0.085679,0.08,0.27,0,1
321,112,128,0,0.718750,0.231849,0.207906,0.102611,0.14,0.39,0,2
322,111,128,0,0.718750,0.160106,0.130976,0.092083,0.15,0.40,0,2
323,110,128,0,0.718750,0.152394,0.122405,0.090779,0.16,0.42,0,3
324,110,128,0,0.718750,0.125510,0.090485,0.086977,0.14,0.35,0,1
325,113,128,0,0.718750,0.634368,0.603957,0.194056,0.14,0.41,0,2
326,118,128,0,0.718750,0.170986,0.145512,0.089792,0.09,0.34,0,2
327,113,128,0,0.718750,0.092806,0.039802,0.083838,0.12,0.32,0,1
328,114,128,0,0.718750,0.242732,0.220150,0.102238,0.13,0.40,0,2
329,116,128,0,0.718750,0.222216,0.197930,0.101012,0.10,0.33,0,2
330,118,128,0,0.718750,0.170532,0.143909,0.091494,0.11,0.42,0,3
331,105,128,0,0.718750,0.639024,0.609168,0.193044,0.20,0.44,0,2
332,115,128,0,0.718750,0.123449,0.086615,0.087963,0.12,0.40,0,2
333,116,128,0,0.718750,0.130774,0.094650,0.090240,0.10,0.33,0,2
334,109,128,0,0.718750,0.138743,0.104633,0.091112,0.17,0.45,0,3
335,113,128,0,0.718750,0.154917,0.124619,0.092030,0.12,0.32,0,1
336,121,128,0,0.718750,0.221066,0.197944,0.098429,0.07,0.31,0,2
337,116,128,0,0.718750,0.166348,0.139158,0.091142,0.09,0.29,0,1
338,111,128,0,0.718750,0.199199,0.174917,0.095311,0.16,0.42,0,2
339,111,128,0,0.718750,0.617729,0.586889,0.192743,0.16,0.45,0,2
340,115,128,0,0.718750,0.179180,0.153524,0.092390,0.11,0.34,0,2
